# [E0:B2:9B:3E:45:F2][LE]> characteristics
# GAP Service
handle: 0x003a, char properties: 0x16, char value handle: 0x003b, uuid: 00002a04-0000-1000-8000-00805f9b34fb, Peripheral Preferred Connection
handle: 0x003d, char properties: 0x14, char value handle: 0x003e, uuid: 00000004-0000-3512-2118-0009af100700, Vendor specific
handle: 0x0040, char properties: 0x10, char value handle: 0x0041, uuid: 00000005-0000-3512-2118-0009af100700, Vendor specific
handle: 0x0043, char properties: 0x12, char value handle: 0x0044, uuid: 00000006-0000-3512-2118-0009af100700, Vendor specific
handle: 0x0046, char properties: 0x12, char value handle: 0x0047, uuid: 00000007-0000-3512-2118-0009af100700, Vendor specific
handle: 0x0049, char properties: 0x18, char value handle: 0x004a, uuid: 00000008-0000-3512-2118-0009af100700, Vendor specific
handle: 0x004c, char properties: 0x10, char value handle: 0x004d, uuid: 00000010-0000-3512-2118-0009af100700, Vendor specific
handle: 0x004f, char properties: 0x16, char value handle: 0x0050, uuid: 00000020-0000-3512-2118-0009af100700, Vendor specific
handle: 0x0052, char properties: 0x08, char value handle: 0x0053, uuid: 0000000e-0000-3512-2118-0009af100700, Vendor specific
handle: 0x0055, char properties: 0x14, char value handle: 0x0056, uuid: 0000000f-0000-3512-2118-0009af100700, Vendor specific
handle: 0x0058, char properties: 0x16, char value handle: 0x0059, uuid: 00000011-0000-3512-2118-0009af100700, Vendor specific
handle: 0x005b, char properties: 0x16, char value handle: 0x005c, uuid: 00000012-0000-3512-2118-0009af100700, Vendor specific
handle: 0x005e, char properties: 0x1a, char value handle: 0x005f, uuid: 00000013-0000-3512-2118-0009af100700, Vendor specific
handle: 0x0061, char properties: 0x14, char value handle: 0x0062, uuid: 00000016-0000-3512-2118-0009af100700, Vendor specific
handle: 0x0064, char properties: 0x14, char value handle: 0x0065, uuid: 00000017-0000-3512-2118-0009af100700, Vendor specific
# Miband Service 2 FEE1
handle: 0x0068, char properties: 0x16, char value handle: 0x0069, uuid: 00000009-0000-3512-2118-0009af100700, Vendor specific (Auth)
handle: 0x006b, char properties: 0x08, char value handle: 0x006c, uuid: 0000fedd-0000-1000-8000-00805f9b34fb, Jawbone
handle: 0x006d, char properties: 0x02, char value handle: 0x006e, uuid: 0000fede-0000-1000-8000-00805f9b34fb, Coin Inc.
handle: 0x006f, char properties: 0x02, char value handle: 0x0070, uuid: 0000fedf-0000-1000-8000-00805f9b34fb, Design SHIFT
handle: 0x0071, char properties: 0x0a, char value handle: 0x0072, uuid: 0000fed0-0000-1000-8000-00805f9b34fb, Apple Inc.
handle: 0x0073, char properties: 0x0a, char value handle: 0x0074, uuid: 0000fed1-0000-1000-8000-00805f9b34fb, Apple Inc.
handle: 0x0075, char properties: 0x02, char value handle: 0x0076, uuid: 0000fed2-0000-1000-8000-00805f9b34fb, Apple Inc.
handle: 0x0077, char properties: 0x0a, char value handle: 0x0078, uuid: 0000fed3-0000-1000-8000-00805f9b34fb, Apple Inc.
handle: 0x0079, char properties: 0x1a, char value handle: 0x007a, uuid: 0000fec1-0000-3512-2118-0009af100700, Vendor specific
# Battery Service
handle: 0x007d, char properties: 0x12, char value handle: 0x007e, uuid: 00002a19-0000-1000-8000-00805f9b34fb, Battery Level
# Human Interface Device Service
handle: 0x0081, char properties: 0x06, char value handle: 0x0082, uuid: 00002a4e-0000-1000-8000-00805f9b34fb, Protocol Mode
handle: 0x0083, char properties: 0x02, char value handle: 0x0084, uuid: 00002a4b-0000-1000-8000-00805f9b34fb, Report Map
handle: 0x0085, char properties: 0x02, char value handle: 0x0086, uuid: 00002a4a-0000-1000-8000-00805f9b34fb, HID Information
handle: 0x0087, char properties: 0x04, char value handle: 0x0088, uuid: 00002a4c-0000-1000-8000-00805f9b34fb, HID Control Point
handle: 0x0089, char properties: 0x1a, char value handle: 0x008a, uuid: 00002a4d-0000-1000-8000-00805f9b34fb, Report
handle: 0x008d, char properties: 0x1a, char value handle: 0x008e, uuid: 00002a4d-0000-1000-8000-00805f9b34fb, Report
handle: 0x0091, char properties: 0x12, char value handle: 0x0092, uuid: 00002a22-0000-1000-8000-00805f9b34fb, Boot Keyboard Input Report
handle: 0x0094, char properties: 0x0e, char value handle: 0x0095, uuid: 00002a32-0000-1000-8000-00805f9b34fb, Boot Keyboard Output Report
# Unknown Service
handle: 0x0097, char properties: 0x1a, char value handle: 0x0098, uuid: 00004a02-0000-1000-8000-00805f9b34fb, Unknown

